"name","handedness","height","weight","avg","HR","BMI","rand","adj_BMI","power","log10HR","lm","range"
"Rafael Landestoy","B",70,165,0.237,4,23.67244898,0.36,24.03,16.87763713,0.602059991,1.367310653,"healthy"
"Glenn Hubbard","R",69,150,0.244,70,22.14870825,-0.04,22.11,286.8852459,1.84509804,1.24943407,"healthy"
"George Hendrick","R",75,195,0.278,267,24.37066667,-0.43,23.94,960.4316547,2.426511261,1.421324774,"healthy"
"Rod Carew","L",72,170,0.328,92,23.05362654,-0.19,22.87,280.4878049,1.963787827,1.319438549,"healthy"
"Bob Davis","R",72,180,0.197,6,24.40972222,-0.01,24.4,30.45685279,0.77815125,1.424346111,"healthy"
"Toby Harrah","R",72,175,0.264,195,23.73167438,-0.02,23.71,738.6363636,2.290034611,1.37189233,"healthy"
"Rick Manning","L",73,180,0.257,56,23.74554325,0.41,24.16,217.8988327,1.748188027,1.372965226,"healthy"
"Gary Matthews","R",74,185,0.281,234,23.75,-0.43,23.32,832.7402135,2.369215857,1.37331,"healthy"
"Cesar Geronimo","L",72,165,0.258,51,22.3755787,-0.36,22.02,197.6744186,1.707570176,1.266984768,"healthy"
"Billy Bryan","L",76,200,0.216,41,24.34210526,-0.11,24.23,189.8148148,1.612783857,1.419115263,"healthy"
"Mario Mendoza","R",71,170,0.215,4,23.7075977,0.33,24.03,18.60465116,0.602059991,1.370029758,"healthy"
"Fred Lynn","L",73,185,0.283,306,24.40514168,0.17,24.58,1081.272085,2.485721426,1.42399176,"healthy"
"Larry Hisle","R",74,193,0.273,166,24.77702703,0.29,25.07,608.0586081,2.220108088,1.452760811,"healthy"
"Graig Nettles","L",72,180,0.248,390,24.40972222,0,24.41,1572.580645,2.591064607,1.424346111,"healthy"
"Rick Monday","L",75,193,0.264,241,24.12071111,-0.12,24,912.8787879,2.382017043,1.401988211,"healthy"
"Mike Sadek","R",69,165,0.226,5,24.36357908,0.11,24.47,22.12389381,0.698970004,1.420776478,"healthy"
"Mark Belanger","R",73,170,0.228,20,22.42634641,-0.03,22.4,87.71929825,1.301029996,1.270912158,"healthy"
"Jackie Hernandez","R",71,165,0.208,12,23.01031541,0.44,23.45,57.69230769,1.079181246,1.316088,"healthy"
"U L Washington","B",71,175,0.251,27,24.40487998,0.39,24.79,107.5697211,1.431363764,1.423971515,"healthy"
"Ed Goodson","L",75,180,0.26,30,22.496,-0.18,22.31,115.3846154,1.477121255,1.27630056,"healthy"
"Mickey Klutts","R",71,170,0.241,14,23.7075977,0.22,23.93,58.09128631,1.146128036,1.370029758,"healthy"
"Danny Ainge","R",76,175,0.22,2,21.29934211,0.34,21.64,9.090909091,0.301029996,1.183727106,"healthy"
"Adolfo Phillips","R",73,175,0.247,59,23.08594483,-0.14,22.95,238.8663968,1.770852012,1.321938692,"healthy"
"Marv Breeding","R",72,175,0.25,7,23.73167438,-0.46,23.27,28,0.84509804,1.37189233,"healthy"
"Dick McAuliffe","L",71,176,0.247,197,24.54433644,-0.28,24.26,797.5708502,2.294466226,1.434759867,"healthy"
"Terry Humphrey","R",75,185,0.211,6,23.12088889,0.34,23.46,28.43601896,0.77815125,1.324641965,"healthy"
"Enzo Hernandez","R",68,155,0.224,2,23.56509516,0.22,23.78,8.928571429,0.301029996,1.359005762,"healthy"
"Coco Laboy","R",70,165,0.233,28,23.67244898,0.27,23.95,120.1716738,1.447158031,1.367310653,"healthy"
"Ted Kubiak","B",72,175,0.231,13,23.73167438,0.39,24.12,56.27705628,1.113943352,1.37189233,"healthy"
"Jim Morrison","R",71,175,0.26,112,24.40487998,0.47,24.87,430.7692308,2.049218023,1.423971515,"healthy"
"Bobby Knoop","R",73,170,0.236,56,22.42634641,-0.23,22.2,237.2881356,1.748188027,1.270912158,"healthy"
"Bobby Brown","B",74,190,0.245,26,24.39189189,0.43,24.82,106.122449,1.414973348,1.422966757,"healthy"
"Ron Hodges","L",73,185,0.24,19,24.40514168,-0.04,24.36,79.16666667,1.278753601,1.42399176,"healthy"
"Rich Chiles","L",71,170,0.254,6,23.7075977,0.35,24.05,23.62204724,0.77815125,1.370029758,"healthy"
