name,handedness,height,weight,avg,HR,BMI,power,log10HR,lm
Alan Bannister,R,71,170,0.27,19,23.7075977,70.37037037,1.278753601,1.370029758
Bob Watson,R,72,201,0.295,184,27.25752315,623.7288136,2.264817823,1.644651991
Ken Harrelson,R,74,190,0.239,131,24.39189189,548.1171548,2.117271296,1.422966757
Bobby Wine,R,73,187,0.215,30,24.66898105,139.5348837,1.477121255,1.444402374
John Kennedy,R,72,185,0.225,32,25.08777006,142.2222222,1.505149978,1.476799892
Chico Ruiz,B,72,169,0.24,2,22.91801698,8.333333333,0.301029996,1.308947794
Gail Hopkins,L,70,198,0.266,25,28.40693878,93.98496241,1.397940009,1.733570784
Doug Frobel,L,76,196,0.201,20,23.85526316,99.50248756,1.301029996,1.381453158
Luis Melendez,R,72,165,0.248,9,22.3755787,36.29032258,0.954242509,1.266984768
Bill Plummer,R,73,190,0.188,14,25.0647401,74.46808511,1.146128036,1.475018294
Buck Rodgers,B,74,190,0.232,31,24.39189189,133.6206897,1.491361694,1.422966757
Phil Niekro,R,73,180,0.169,7,23.74554325,41.42011834,0.84509804,1.372965226
Tom Poquette,L,70,175,0.268,10,25.10714286,37.31343284,1,1.478298572
Brian Asselstine,L,73,175,0.254,12,23.08594483,47.24409449,1.079181246,1.321938692
Rick Miller,L,72,175,0.269,28,23.73167438,104.0892193,1.447158031,1.37189233
Ed Charles,R,70,170,0.263,86,24.38979592,326.9961977,1.934498451,1.422804612
Floyd Rayford,R,70,190,0.244,38,27.25918367,155.7377049,1.579783597,1.644780449
Tony Conigliaro,R,75,185,0.264,166,23.12088889,628.7878788,2.220108088,1.324641965
Jim Barr,R,75,205,0.162,1,25.62044444,6.172839506,0,1.518007582
Jerry Remy,L,69,165,0.275,7,24.36357908,25.45454545,0.84509804,1.420776478
Frank Duffy,R,73,180,0.232,26,23.74554325,112.0689655,1.414973348,1.372965226
Tom O'Malley,L,72,180,0.256,13,24.40972222,50.78125,1.113943352,1.424346111
Phil Garner,R,70,175,0.26,109,25.10714286,419.2307692,2.037426498,1.478298572
